HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR
30 hp,2012,6,392,4488116,52,654826,340,3833290
30 hp,2012,7,414,5028076,84,1073832,330,3954244
30 hp,2012,8,382,4133900,72,864698,310,3269202
30 hp,2012,9,406,4560536,78,956004,328,3604532
30 hp,2012,10,444,5094654,88,1108952,356,3985702
30 hp,2012,11,352,3991942,64,783406,288,3208536
30 hp,2012,12,420,4904256,94,1149158,326,3755098
30 hp,2013,1,442,5208800,56,718590,386,4490210
30 hp,2013,2,374,4194476,98,1174358,276,3020118
30 hp,2013,3,404,4532634,76,930372,328,3602262
30 hp,2013,4,416,4911718,60,768986,356,4142732
30 hp,2013,5,362,4177564,72,905710,290,3271854
30 hp,2013,6,448,5172066,96,1274352,352,3897714
30 hp,2013,7,464,5309746,92,1187634,372,4122112
30 hp,2013,8,402,4795204,74,972290,328,3822914
30 hp,2013,9,438,4908738,94,1055946,344,3852792
30 hp,2013,10,370,4424822,56,733470,314,3691352
30 hp,2013,11,414,4909172,90,1136896,324,3772276
30 hp,2013,12,460,5198094,96,1225350,364,3972744
30 hp,2014,1,354,4296688,74,980716,280,3315972
30 hp,2014,2,480,5429578,64,803284,416,4626294
30 hp,2014,3,512,6321582,68,848830,444,5472752
30 hp,2014,4,454,5383004,88,1144390,366,4238614
30 hp,2014,5,464,5609424,110,1506363.8,354,4103060.2
30 hp,2014,6,494,5867222,72,920266.22,422,4946955.78
30 hp,2014,7,,,,,,
30 hp,2014,8,,,,,,
30 hp,2014,9,,,,,,
30 hp,2014,10,,,,,,
30 hp,2014,11,,,,,,
30 hp,2014,12,,,,,,
300 hp,2009,1,24,1684020,4,287690,20,1396330
300 hp,2009,2,20,1468146,4,234968,16,1233178
300 hp,2009,3,22,2827562,8,607994,14,2219568
300 hp,2009,4,32,2747906,18,1353762,14,1394144
300 hp,2009,5,28,1972052,12,964416,16,1007636
300 hp,2009,6,28,2907154,0,0,28,2907154
300 hp,2009,7,14,1084276,14,1112582,0,-28306
300 hp,2009,8,16,998272,4,358672,12,639600
300 hp,2009,9,14,969600,2,216600,12,753000
300 hp,2009,10,12,928516,10,734544,2,193972
300 hp,2009,11,12,928514,4,349596,8,578918
300 hp,2009,12,32,2350176,4,299936,28,2050240
300 hp,2010,1,8,486276,0,0,8,486276
300 hp,2010,2,10,665206,0,0,10,665206
300 hp,2010,3,10,665206,2,148108,8,517098
300 hp,2010,4,18,1410856,6,520148,12,890708
300 hp,2010,5,18,1410856,4,310178,14,1100678
300 hp,2010,6,18,1410856,6,391974,12,1018882
300 hp,2010,7,30,2094914,16,1002160,14,1092754
300 hp,2010,8,12,866166,4,352428,8,513738
300 hp,2010,9,8,586882,4,339572,4,247310
300 hp,2010,10,30,2283692,2,204732,28,2078960
300 hp,2010,11,28,2396258,12,976080,16,1420178
300 hp,2010,12,38,2800024,14,863602,24,1936422
300 hp,2011,1,22,1946092,2,168904,20,1777188
300 hp,2011,2,30,2029506,0,0,30,2029506
300 hp,2011,3,30,2029506,6,495280,24,1534226
300 hp,2011,4,28,2048618,12,930990,16,1117628
300 hp,2011,5,46,3596236,16,1321012,30,2275224
300 hp,2011,6,46,3528992,18,1414578,28,2114414
300 hp,2011,7,54,3740054,14,999122,40,2740932
300 hp,2011,8,58,3550018,10,850216,48,2699802
300 hp,2011,9,30,2606666,16,1452798,14,1153868
300 hp,2011,10,58,4055426,30,1972086,28,2083340
300 hp,2011,11,16,1200572,4,345846,12,854726
300 hp,2011,12,34,3184410,8,659932,26,2524478
300 hp,2012,1,16,1245630,2,204732,14,1040898
300 hp,2012,2,26,2847760,4,360124,22,2487636
300 hp,2012,3,28,3274370,4,325712,24,2948658
300 hp,2012,4,18,1438204,8,708932,10,729272
300 hp,2012,5,22,1951588,8,749764,14,1201824
300 hp,2012,6,30,2848794,2,204732,28,2644062
300 hp,2012,7,14,1398468,6,564378,8,834090
300 hp,2012,8,38,2794174,8,792350,30,2001824
300 hp,2012,9,42,3152258,14,1263808,28,1888450
300 hp,2012,10,56,4550366,26,2111654,30,2438712
300 hp,2012,11,34,2681844,8,726002,26,1955842
300 hp,2012,12,42,4032600,14,1602518,28,2430082
300 hp,2013,1,22,1777180,10,939492,12,837688
300 hp,2013,2,38,2891726,12,939902,26,1951824
300 hp,2013,3,22,1800886,4,291536,18,1509350
300 hp,2013,4,30,2437936,10,968348,20,1469588
300 hp,2013,5,32,2534740,12,937350,20,1597390
300 hp,2013,6,48,3803834,14,1288916,34,2514918
300 hp,2013,7,34,2761482,10,825006,24,1936476
300 hp,2013,8,38,2996718,10,917472,28,2079246
300 hp,2013,9,54,4945490,10,976024,44,3969466
300 hp,2013,10,42,3211806,10,768662,32,2443144
300 hp,2013,11,40,3331634,16,1508296,24,1823338
300 hp,2013,12,62,4903578,18,1693972,44,3209606
300 hp,2014,1,18,1348435,,,,
300 hp,2014,2,9,674218,10,947566,4,200435
300 hp,2014,3,20,1955293,8,819802,16,1545392
300 hp,2014,4,10,766866,8,726860,6,403436
300 hp,2014,5,22,1857342,20,1957173,12,878755.5
300 hp,2014,6,19,1740760,8,679558.524,15,1400980.738
300 hp,2014,7,,,,,,
300 hp,2014,8,,,,,,
300 hp,2014,9,,,,,,
300 hp,2014,10,,,,,,
300 hp,2014,11,,,,,,
300 hp,2014,12,,,,,,
350 hp,2009,1,12,1074856,4,349738,8,725118
350 hp,2009,2,12,1084156,0,0,12,1084156
350 hp,2009,3,12,1084154,0,0,12,1084154
350 hp,2009,4,22,1808388,10,1001342,12,807046
350 hp,2009,5,12,888336,6,522730,6,365606
350 hp,2009,6,10,925128,0,0,10,925128
350 hp,2009,7,6,486920,4,442368,2,44552
350 hp,2009,8,4,442180,0,0,4,442180
350 hp,2009,9,8,603162,0,0,8,603162
350 hp,2009,10,4,495842,0,0,4,495842
350 hp,2009,11,6,513726,0,0,6,513726
350 hp,2009,12,6,516408,2,148104,4,368304
350 hp,2010,1,6,508658,0,0,6,508658
350 hp,2010,2,6,512932,2,188218,4,324714
350 hp,2010,3,16,3142206,0,0,16,3142206
350 hp,2010,4,0,0,0,0,0,0
350 hp,2010,5,2,902336,0,0,2,902336
350 hp,2010,6,0,0,0,0,0,0
350 hp,2010,7,16,1353504,0,0,16,1353504
350 hp,2010,8,10,746076,0,0,10,746076
350 hp,2010,9,10,746076,0,0,10,746076
350 hp,2010,10,6,520998,0,0,6,520998
350 hp,2010,11,6,520998,2,188800,4,332198
350 hp,2010,12,6,520998,4,422754,2,98244
350 hp,2011,1,4,322368,0,0,4,322368
350 hp,2011,2,4,322366,0,0,4,322366
350 hp,2011,3,16,1270758,0,0,16,1270758
350 hp,2011,4,14,1231336,4,372464,10,858872
350 hp,2011,5,6,525978,2,213958,4,312020
350 hp,2011,6,10,1058328,6,726180,4,332148
350 hp,2011,7,10,1058326,0,0,10,1058326
350 hp,2011,8,20,1860624,0,0,20,1860624
350 hp,2011,9,20,1860624,0,0,20,1860624
350 hp,2011,10,20,1860624,4,427652,16,1432972
350 hp,2011,11,20,1860624,4,413632,16,1446992
350 hp,2011,12,20,1860624,4,413632,16,1446992
350 hp,2012,1,12,1174048,0,0,12,1174048
350 hp,2012,2,12,1174048,0,0,12,1174048
350 hp,2012,3,12,1174048,0,0,12,1174048
350 hp,2012,4,12,1174048,0,0,12,1174048
350 hp,2012,5,18,1851466,4,432960,14,1418506
350 hp,2012,6,16,1458472,2,187178,14,1271294
350 hp,2012,7,16,1458472,0,0,16,1458472
350 hp,2012,8,16,1458472,2,195288,14,1263184
350 hp,2012,9,16,1458472,2,211972,14,1246500
350 hp,2012,10,16,1458472,2,195140,14,1263332
350 hp,2012,11,16,1458472,2,220282,14,1238190
350 hp,2012,12,16,1458472,6,644328,10,814144
350 hp,2013,1,10,1040208,2,302832,8,737376
350 hp,2013,2,16,1352038,4,409996,12,942042
350 hp,2013,3,14,1269170,0,0,14,1269170
350 hp,2013,4,14,1288098,2,235036,12,1053062
350 hp,2013,5,12,1220110,0,0,12,1220110
350 hp,2013,6,14,1460962,0,0,14,1460962
350 hp,2013,7,14,1564850,0,0,14,1564850
350 hp,2013,8,8,962170,0,0,8,962170
350 hp,2013,9,14,1403758,2,219304,12,1184454
350 hp,2013,10,10,1198252,0,0,10,1198252
350 hp,2013,11,14,1531742,0,0,14,1531742
350 hp,2013,12,6,610032,0,0,6,610032
350 hp,2014,1,6,699924.6667,2,271064,4,428860.6667
350 hp,2014,2,12,1399849.3334,0,0,0,0
350 hp,2014,3,14,1399850,0,0,0,0
350 hp,2014,4,,,0,0,,
350 hp,2014,5,,,4,619507.2,,
350 hp,2014,6,,,2,204015.78,,
350 hp,2014,7,,,,,,
350 hp,2014,8,,,,,,
350 hp,2014,9,,,,,,
350 hp,2014,10,,,,,,
350 hp,2014,11,,,,,,
350 hp,2014,12,,,,,,
40 hp,2009,1,140,1809978,36,443118,104,1366860
40 hp,2009,2,136,1749486,36,423742,100,1325744
40 hp,2009,3,140,1959182,54,688652,86,1270530
40 hp,2009,4,106,1333934,24,303300,82,1030634
40 hp,2009,5,92,1165082,22,263222,70,901860
40 hp,2009,6,166,2134130,46,524732,120,1609398
40 hp,2009,7,118,1574460,34,419624,84,1154836
40 hp,2009,8,118,1532764,28,358076,90,1174688
40 hp,2009,9,128,1716266,28,304086,100,1412180
40 hp,2009,10,132,1711432,30,375028,102,1336404
40 hp,2009,11,146,1900828,34,409730,112,1491098
40 hp,2009,12,180,2388430,46,531632,134,1856798
40 hp,2010,1,132,1714318,32,372770,100,1341548
40 hp,2010,2,154,1932432,46,554354,108,1378078
40 hp,2010,3,190,2445340,66,782004,124,1663336
40 hp,2010,4,192,2481558,68,795492,124,1686066
40 hp,2010,5,182,2477878,60,818418,122,1659460
40 hp,2010,6,180,2480304,64,772450,116,1707854
40 hp,2010,7,178,2307242,58,718720,120,1588522
40 hp,2010,8,188,2603648,54,708694,134,1894954
40 hp,2010,9,170,2355612,42,566120,128,1789492
40 hp,2010,10,160,2214870,34,413392,126,1801478
40 hp,2010,11,228,3083842,58,748464,170,2335378
40 hp,2010,12,206,2874842,66,898562,140,1976280
40 hp,2011,1,186,2442490,38,477802,148,1964688
40 hp,2011,2,160,2214074,58,767332,102,1446742
40 hp,2011,3,210,2929940,68,960788,142,1969152
40 hp,2011,4,158,2112098,38,491774,120,1620324
40 hp,2011,5,222,3032686,50,714700,172,2317986
40 hp,2011,6,232,3280832,56,786150,176,2494682
40 hp,2011,7,212,3175234,54,757598,158,2417636
40 hp,2011,8,236,3366576,42,535396,194,2831180
40 hp,2011,9,216,2947672,64,891698,152,2055974
40 hp,2011,10,248,3648716,76,1022824,172,2625892
40 hp,2011,11,226,3208338,48,678538,178,2529800
40 hp,2011,12,254,3595800,60,820364,194,2775436
40 hp,2012,1,252,3802266,40,588458,212,3213808
40 hp,2012,2,234,3390712,30,398782,204,2991930
40 hp,2012,3,238,3289168,64,836416,174,2452752
40 hp,2012,4,216,2993454,50,674116,166,2319338
40 hp,2012,5,214,3115912,52,706830,162,2409082
40 hp,2012,6,234,3225192,48,603486,186,2621706
40 hp,2012,7,182,2725016,56,783030,126,1941986
40 hp,2012,8,292,4257640,66,906388,226,3351252
40 hp,2012,9,230,3552658,54,796678,176,2755980
40 hp,2012,10,222,3292832,48,666790,174,2626042
40 hp,2012,11,210,3015286,50,715978,160,2299308
40 hp,2012,12,246,3839174,74,1046678,172,2792496
40 hp,2013,1,192,3058688,30,431040,162,2627648
40 hp,2013,2,202,3034472,66,982740,136,2051732
40 hp,2013,3,224,3306558,46,613778,178,2692780
40 hp,2013,4,222,3341770,46,701688,176,2640082
40 hp,2013,5,230,3358500,42,599264,188,2759236
40 hp,2013,6,200,2844776,52,737902,148,2106874
40 hp,2013,7,186,2649342,38,522856,148,2126486
40 hp,2013,8,266,4004148,52,727772,214,3276376
40 hp,2013,9,238,3421700,50,617282,188,2804418
40 hp,2013,10,224,3364024,54,783376,170,2580648
40 hp,2013,11,200,3082064,40,549410,160,2532654
40 hp,2013,12,310,4605226,76,1155866,234,3449360
40 hp,2014,1,162,2395812,30,433004,132,1962808
40 hp,2014,2,284,4202494,100,1436290,184,2766204
40 hp,2014,3,278,4084912,56,845186,222,3239726
40 hp,2014,4,300,4565452,74,1088548,226,3476904
40 hp,2014,5,264,4015042,78,1098561.6,186,2916480.4
40 hp,2014,6,298,4390556,54,819884.52,244,3570671.48
40 hp,2014,7,,,,,,
40 hp,2014,8,,,,,,
40 hp,2014,9,,,,,,
40 hp,2014,10,,,,,,
40 hp,2014,11,,,,,,
40 hp,2014,12,,,,,,
400 & larger,2009,1,20,2267380,6,596096,14,1671284
400 & larger,2009,2,18,2257158,2,194200,16,2062958
400 & larger,2009,3,20,2422034,24,2805900,-4,-383866
400 & larger,2009,4,18,2267380,0,0,18,2267380
400 & larger,2009,5,26,3469528,4,432936,22,3036592
400 & larger,2009,6,26,3445436,6,607290,20,2838146
400 & larger,2009,7,0,0,0,0,0,0
400 & larger,2009,8,8,825676,4,455202,4,370474
400 & larger,2009,9,12,1440382,12,1440414,0,-32
400 & larger,2009,10,6,751570,0,0,6,751570
400 & larger,2009,11,8,933622,4,340370,4,593252
400 & larger,2009,12,10,1124720,6,687114,4,437606
400 & larger,2010,1,8,1297206,0,0,8,1297206
400 & larger,2010,2,8,1297206,4,354204,4,943002
400 & larger,2010,3,24,1297206,6,646580,18,650626
400 & larger,2010,4,8,1297206,0,0,8,1297206
400 & larger,2010,5,12,832386,0,0,12,832386
400 & larger,2010,6,8,832386,0,0,8,832386
400 & larger,2010,7,8,832386,0,0,8,832386
400 & larger,2010,8,8,832386,0,0,8,832386
400 & larger,2010,9,8,832386,2,241394,6,590992
400 & larger,2010,10,14,1816354,4,415456,10,1400898
400 & larger,2010,11,14,1816354,2,208204,12,1608150
400 & larger,2010,12,14,1816354,0,0,14,1816354
400 & larger,2011,1,10,1158120,2,246024,8,912096
400 & larger,2011,2,10,1158118,4,411144,6,746974
400 & larger,2011,3,10,1158120,12,1278552,-2,-120432
400 & larger,2011,4,12,1420072,0,0,12,1420072
400 & larger,2011,5,12,1420072,0,0,12,1420072
400 & larger,2011,6,12,1420072,6,593952,6,826120
400 & larger,2011,7,12,1420072,6,637948,6,782124
400 & larger,2011,8,12,1937602,0,0,12,1937602
400 & larger,2011,9,12,1937602,2,184500,10,1753102
400 & larger,2011,10,12,1937602,8,2390048,4,-452446
400 & larger,2011,11,12,1937602,10,1098280,2,839322
400 & larger,2011,12,12,1937602,2,212650,10,1724952
400 & larger,2012,1,16,1987926,10,1063248,6,924678
400 & larger,2012,2,16,1987926,18,1739330,-2,248596
400 & larger,2012,3,16,1987926,8,924442,8,1063484
400 & larger,2012,4,16,1987926,0,0,16,1987926
400 & larger,2012,5,22,2633754,8,898348,14,1735406
400 & larger,2012,6,12,1661448,2,262502,10,1398946
400 & larger,2012,7,12,1661448,2,300210,10,1361238
400 & larger,2012,8,12,1661448,2,409112,10,1252336
400 & larger,2012,9,12,1661448,4,814454,8,846994
400 & larger,2012,10,12,1661448,2,262502,10,1398946
400 & larger,2012,11,12,1661448,2,258146,10,1403302
400 & larger,2012,12,12,1661448,0,0,12,1661448
400 & larger,2013,1,8,1380486,4,997376,4,383110
400 & larger,2013,2,12,1481038,6,669894,6,811144
400 & larger,2013,3,10,1113670,0,0,10,1113670
400 & larger,2013,4,10,1289576,4,461170,6,828406
400 & larger,2013,5,8,1336524,8,1128908,0,207616
400 & larger,2013,6,14,1600358,2,261040,12,1339318
400 & larger,2013,7,12,1714156,0,0,12,1714156
400 & larger,2013,8,8,1053974,4,669242,4,384732
400 & larger,2013,9,12,1537696,2,121698,10,1415998
400 & larger,2013,10,10,1312582,0,0,10,1312582
400 & larger,2013,11,12,1677888,6,620104,6,1057784
400 & larger,2013,12,6,668238,0,0,6,668238
400 & larger,2014,1,8,1077474,2,253742,2,284995
400 & larger,2014,2,8,1077474,0,0,0,0
400 & larger,2014,3,4,538737,2,213142,3,432166
400 & larger,2014,4,,,0,0,,
400 & larger,2014,5,,,6,773488.2,,
400 & larger,2014,6,,,8,1082220.2,,
400 & larger,2014,7,,,,,,
400 & larger,2014,8,,,,,,
400 & larger,2014,9,,,,,,
400 & larger,2014,10,,,,,,
400 & larger,2014,11,,,,,,
400 & larger,2014,12,,,,,,
5 hp & less,2009,1,140,542990,26,93148,114,449842
5 hp & less,2009,2,102,401492,24,93490,78,308002
5 hp & less,2009,3,232,836282,22,76084,210,760198
5 hp & less,2009,4,192,943228,36,151758,156,791470
5 hp & less,2009,5,154,622694,26,116034,128,506660
5 hp & less,2009,6,224,718588,30,110670,194,607918
5 hp & less,2009,7,152,591528,18,59462,134,532066
5 hp & less,2009,8,202,837792,32,115922,170,721870
5 hp & less,2009,9,184,646922,42,173862,142,473060
5 hp & less,2009,10,142,488408,36,128550,106,359858
5 hp & less,2009,11,176,627472,24,92286,152,535186
5 hp & less,2009,12,290,889962,48,173732,242,716230
5 hp & less,2010,1,136,556440,28,113740,108,442700
5 hp & less,2010,2,224,704984,34,133540,190,571444
5 hp & less,2010,3,256,922910,32,128104,224,794806
5 hp & less,2010,4,306,862602,26,97864,280,764738
5 hp & less,2010,5,278,814228,60,242164,218,572064
5 hp & less,2010,6,326,973190,40,168996,286,804194
5 hp & less,2010,7,254,803096,22,84848,232,718248
5 hp & less,2010,8,232,817390,30,113688,202,703702
5 hp & less,2010,9,228,805380,38,155666,190,649714
5 hp & less,2010,10,256,943438,50,209928,206,733510
5 hp & less,2010,11,320,955102,28,109438,292,845664
5 hp & less,2010,12,334,1021322,52,201000,282,820322
5 hp & less,2011,1,204,781908,46,187192,158,594716
5 hp & less,2011,2,232,739948,28,115932,204,624016
5 hp & less,2011,3,258,930138,48,192916,210,737222
5 hp & less,2011,4,204,693354,46,192916,158,500438
5 hp & less,2011,5,336,1023134,34,133114,302,890020
5 hp & less,2011,6,348,1128576,48,198736,300,929840
5 hp & less,2011,7,226,759570,36,129000,190,630570
5 hp & less,2011,8,352,971112,22,80502,330,890610
5 hp & less,2011,9,250,863378,52,189604,198,673774
5 hp & less,2011,10,240,895076,48,175172,192,719904
5 hp & less,2011,11,204,778776,38,141830,166,636946
5 hp & less,2011,12,296,1071192,38,137866,258,933326
5 hp & less,2012,1,276,922550,32,108380,244,814170
5 hp & less,2012,2,220,822226,40,156688,180,665538
5 hp & less,2012,3,268,946344,36,127422,232,818922
5 hp & less,2012,4,338,1040088,50,181178,288,858910
5 hp & less,2012,5,276,1011020,42,169520,234,841500
5 hp & less,2012,6,308,1094158,62,242336,246,851822
5 hp & less,2012,7,162,661542,30,117050,132,544492
5 hp & less,2012,8,268,1003748,46,174886,222,828862
5 hp & less,2012,9,298,1101838,54,238080,244,863758
5 hp & less,2012,10,282,1116236,50,210790,232,905446
5 hp & less,2012,11,330,1218682,76,292918,254,925764
5 hp & less,2012,12,350,1411794,40,157328,310,1254466
5 hp & less,2013,1,230,925568,38,156788,192,768780
5 hp & less,2013,2,186,792164,44,165504,142,626660
5 hp & less,2013,3,224,934696,40,156510,184,778186
5 hp & less,2013,4,336,1249642,54,202886,282,1046756
5 hp & less,2013,5,350,1235694,42,166652,308,1069042
5 hp & less,2013,6,344,1199750,52,198590,292,1001160
5 hp & less,2013,7,288,1155644,76,293490,212,862154
5 hp & less,2013,8,348,1092918,16,70326,332,1022592
5 hp & less,2013,9,340,1144064,44,150970,296,993094
5 hp & less,2013,10,356,1233688,52,210030,304,1023658
5 hp & less,2013,11,282,1050416,74,313190,208,737226
5 hp & less,2013,12,296,1198138,56,210728,240,987410
5 hp & less,2014,1,268,1082484,29,118118,105,423124
5 hp & less,2014,2,336,1245266,70,288254,266,957012
5 hp & less,2014,3,300,1146936,60,237664,240,909272
5 hp & less,2014,4,458,1464334,70,270520,388,1193814
5 hp & less,2014,5,376,1410180,66,279182.6,310,1130997.4
5 hp & less,2014,6,478,1489226,56,229518.86,422,1259707.14
5 hp & less,2014,7,,,,,,
5 hp & less,2014,8,,,,,,
5 hp & less,2014,9,,,,,,
5 hp & less,2014,10,,,,,,
5 hp & less,2014,11,,,,,,
5 hp & less,2014,12,,,,,,
50 hp,2009,1,254,3919802,44,551990,210,3367812
50 hp,2009,2,280,4617738,52,712264,228,3905474
50 hp,2009,3,256,3933052,56,742090,200,3190962
50 hp,2009,4,204,3075318,54,730098,150,2345220
50 hp,2009,5,182,2647176,44,580438,138,2066738
50 hp,2009,6,192,2964310,44,552770,148,2411540
50 hp,2009,7,150,2259956,30,382482,120,1877474
50 hp,2009,8,182,2767058,50,609688,132,2157370
50 hp,2009,9,204,3001366,38,489476,166,2511890
50 hp,2009,10,230,3249418,66,831090,164,2418328
50 hp,2009,11,300,4563970,54,794846,246,3769124
50 hp,2009,12,260,3948676,66,811738,194,3136938
50 hp,2010,1,258,3706320,62,792698,196,2913622
50 hp,2010,2,242,3668928,48,625126,194,3043802
50 hp,2010,3,312,4819784,78,1115556,234,3704228
50 hp,2010,4,258,3728810,56,714434,202,3014376
50 hp,2010,5,250,3663198,54,766072,196,2897126
50 hp,2010,6,262,3958512,54,673610,208,3284902
50 hp,2010,7,302,4450874,74,997092,228,3453782
50 hp,2010,8,332,5139688,92,1331882,240,3807806
50 hp,2010,9,398,6276814,92,1205316,306,5071498
50 hp,2010,10,306,4461952,50,710260,256,3751692
50 hp,2010,11,362,5597840,82,1103704,280,4494136
50 hp,2010,12,384,5882374,116,1560708,268,4321666
50 hp,2011,1,302,4548274,38,478356,264,4069918
50 hp,2011,2,302,4753918,62,863758,240,3890160
50 hp,2011,3,406,6518150,88,1285378,318,5232772
50 hp,2011,4,306,5194048,64,944776,242,4249272
50 hp,2011,5,356,6135070,72,1097874,284,5037196
50 hp,2011,6,370,6131964,102,1427012,268,4704952
50 hp,2011,7,346,5451130,74,1005558,272,4445572
50 hp,2011,8,366,5844584,84,1258978,282,4585606
50 hp,2011,9,358,5595192,72,1082584,286,4512608
50 hp,2011,10,362,5936086,68,989222,294,4946864
50 hp,2011,11,370,5937344,80,1122386,290,4814958
50 hp,2011,12,384,6391002,78,1149494,306,5241508
50 hp,2012,1,336,5687754,46,569284,290,5118470
50 hp,2012,2,370,6007770,50,623634,320,5384136
50 hp,2012,3,476,7804960,82,1090412,394,6714548
50 hp,2012,4,326,5451968,54,700008,272,4751960
50 hp,2012,5,384,6575804,56,889562,328,5686242
50 hp,2012,6,450,7357734,122,1765102,328,5592632
50 hp,2012,7,370,5972956,70,1009714,300,4963242
50 hp,2012,8,376,6084158,82,1116374,294,4967784
50 hp,2012,9,372,6081534,54,794114,318,5287420
50 hp,2012,10,368,6196544,82,1199434,286,4997110
50 hp,2012,11,404,6831908,94,1364836,310,5467072
50 hp,2012,12,414,6929066,70,1033880,344,5895186
50 hp,2013,1,380,6472808,76,1153892,304,5318916
50 hp,2013,2,344,5688872,92,1310192,252,4378680
50 hp,2013,3,354,5865186,66,978798,288,4886388
50 hp,2013,4,390,6573460,74,1210636,316,5362824
50 hp,2013,5,422,7134412,94,1508640,328,5625772
50 hp,2013,6,404,6559814,98,1508988,306,5050826
50 hp,2013,7,416,6902458,92,1564696,324,5337762
50 hp,2013,8,376,6238038,76,1217982,300,5020056
50 hp,2013,9,358,5877286,78,1163886,280,4713400
50 hp,2013,10,344,5846008,50,781240,294,5064768
50 hp,2013,11,334,5366044,62,849790,272,4516254
50 hp,2013,12,456,7902318,94,1527704,362,6374614
50 hp,2014,1,368,6415606,62,938512,306,5477094
50 hp,2014,2,454,7785862,114,1901480,340,5884382
50 hp,2014,3,416,7322804,64,968792,352,6354012
50 hp,2014,4,460,8570106,80,1303718,380,7266388
50 hp,2014,5,422,7545888,84,1385257.6,338,6160630.4
50 hp,2014,6,464,7776294,92,1525567.06,372,6250726.94
50 hp,2014,7,,,,,,
50 hp,2014,8,,,,,,
50 hp,2014,9,,,,,,
50 hp,2014,10,,,,,,
50 hp,2014,11,,,,,,
50 hp,2014,12,,,,,,
60 hp,2009,1,100,1901496,22,384884,78,1516612
60 hp,2009,2,76,1436594,24,452200,52,984394
60 hp,2009,3,80,1492730,12,219594,68,1273136
60 hp,2009,4,80,1896112,24,453960,56,1442152
60 hp,2009,5,72,1309250,28,506964,44,802286
60 hp,2009,6,90,1827938,10,208366,80,1619572
60 hp,2009,7,68,1245344,18,300068,50,945276
60 hp,2009,8,74,1290382,24,405538,50,884844
60 hp,2009,9,98,1796458,20,367070,78,1429388
60 hp,2009,10,80,1477672,12,221622,68,1256050
60 hp,2009,11,62,1056908,14,248240,48,808668
60 hp,2009,12,64,1229510,8,146546,56,1082964
60 hp,2010,1,48,975122,12,231924,36,743198
60 hp,2010,2,46,846112,6,109312,40,736800
60 hp,2010,3,94,1670172,34,558892,60,1111280
60 hp,2010,4,106,1972836,30,520840,76,1451996
60 hp,2010,5,82,1484862,24,412698,58,1072164
60 hp,2010,6,88,1578540,26,487064,62,1091476
60 hp,2010,7,78,1418784,30,524652,48,894132
60 hp,2010,8,88,1718468,24,439100,64,1279368
60 hp,2010,9,86,1571644,32,500400,54,1071244
60 hp,2010,10,84,1650918,30,499618,54,1151300
60 hp,2010,11,114,2166928,34,584888,80,1582040
60 hp,2010,12,108,1966348,40,710772,68,1255576
60 hp,2011,1,70,1278200,26,458688,44,819512
60 hp,2011,2,56,1039688,10,180402,46,859286
60 hp,2011,3,100,1913082,18,365154,82,1547928
60 hp,2011,4,80,1494780,24,439822,56,1054958
60 hp,2011,5,96,1824418,30,533066,66,1291352
60 hp,2011,6,106,2088762,22,389842,84,1698920
60 hp,2011,7,88,1716942,16,293772,72,1423170
60 hp,2011,8,120,2547566,14,274316,106,2273250
60 hp,2011,9,66,1321838,18,353852,48,967986
60 hp,2011,10,108,2114564,24,434392,84,1680172
60 hp,2011,11,122,2445116,22,438160,100,2006956
60 hp,2011,12,112,2399724,22,407912,90,1991812
60 hp,2012,1,64,1308158,6,109072,58,1199086
60 hp,2012,2,104,2207362,12,224258,92,1983104
60 hp,2012,3,112,2317074,20,362426,92,1954648
60 hp,2012,4,92,1707480,30,543902,62,1163578
60 hp,2012,5,108,2238784,18,356898,90,1881886
60 hp,2012,6,108,2208034,18,365356,90,1842678
60 hp,2012,7,100,2007490,10,177054,90,1830436
60 hp,2012,8,110,2207896,26,490570,84,1717326
60 hp,2012,9,100,2080822,22,448026,78,1632796
60 hp,2012,10,104,2350194,20,432948,84,1917246
60 hp,2012,11,108,2146328,30,524758,78,1621570
60 hp,2012,12,144,2818974,38,678302,106,2140672
60 hp,2013,1,108,2263304,12,229866,96,2033438
60 hp,2013,2,112,2268114,40,816062,72,1452052
60 hp,2013,3,102,2141018,12,260776,90,1880242
60 hp,2013,4,96,2084952,32,753540,64,1331412
60 hp,2013,5,98,2143658,26,569150,72,1574508
60 hp,2013,6,120,2594758,24,473334,96,2121424
60 hp,2013,7,108,2150768,28,564566,80,1586202
60 hp,2013,8,124,2670972,24,533794,100,2137178
60 hp,2013,9,94,2014584,16,356396,78,1658188
60 hp,2013,10,108,2210406,22,419598,86,1790808
60 hp,2013,11,88,1786958,18,353852,70,1433106
60 hp,2013,12,138,2865682,34,674408,104,2191274
60 hp,2014,1,108,2185584,26,534912,82,1650672
60 hp,2014,2,104,2335204,18,399652,86,1935552
60 hp,2014,3,140,2881968,28,610024,112,2271944
60 hp,2014,4,110,2333406,24,549666,86,1783740
60 hp,2014,5,138,2871178,38,853817.8,100,2017360.2
60 hp,2014,6,144,3087116,42,907143.6,102,2179972.4
60 hp,2014,7,,,,,,
60 hp,2014,8,,,,,,
60 hp,2014,9,,,,,,
60 hp,2014,10,,,,,,
60 hp,2014,11,,,,,,
60 hp,2014,12,,,,,,
7.5 hp,2009,1,192,900976,50,265046,142,635930
