,HP Category_x,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,HP Category_y,u.CAGI_3mths,d.CAGI_3mths,u.IR_3mths,d.IR_3mths,u.NonIR_3mths,d.NonIR_3mths,u.CAGI_6mths,d.CAGI_6mths,u.IR_6mths,d.IR_6mths,u.NonIR_6mths,d.NonIR_6mths
10,10 hp,2009,11,250.0,1215374.0,66.0,328512.0,184.0,886862.0,10 hp,295.3333333333333,1442049.3333333333,71.33333333333333,361932.0,224.0,1080117.3333333333,279.0,1368528.6666666667,66.66666666666667,339668.3333333333,212.33333333333334,1028860.3333333334
11,10 hp,2009,12,262.0,1459032.0,80.0,398090.0,182.0,1060942.0,10 hp,248.66666666666666,1303018.6666666667,73.33333333333333,365826.6666666667,175.33333333333334,937192.0,279.6666666666667,1385624.6666666667,68.33333333333333,344088.6666666667,211.33333333333334,1041536.0
12,10 hp,2010,1,184.0,1050048.0,40.0,201974.0,144.0,848074.0,10 hp,232.0,1241484.6666666667,62.0,309525.3333333333,170.0,931959.3333333334,265.3333333333333,1334228.3333333333,63.666666666666664,320427.6666666667,201.66666666666666,1013800.6666666666
13,10 hp,2010,2,190.0,1041078.0,42.0,209250.0,148.0,831828.0,10 hp,212.0,1183386.0,54.0,269771.3333333333,158.0,913614.6666666666,253.66666666666666,1312717.6666666667,62.666666666666664,315851.6666666667,191.0,996866.0
14,10 hp,2010,3,312.0,1758544.0,58.0,306082.0,254.0,1452462.0,10 hp,228.66666666666666,1283223.3333333333,46.666666666666664,239102.0,182.0,1044121.3333333334,238.66666666666666,1293121.0,60.0,302464.3333333333,178.66666666666666,990656.6666666666
15,10 hp,2010,4,188.0,1054358.0,50.0,284852.0,138.0,769506.0,10 hp,230.0,1284660.0,50.0,266728.0,180.0,1017932.0,231.0,1263072.3333333333,56.0,288126.6666666667,175.0,974945.6666666666
16,10 hp,2010,5,296.0,1268726.0,54.0,302220.0,242.0,966506.0,10 hp,265.3333333333333,1360542.6666666667,54.0,297718.0,211.33333333333334,1062824.6666666667,238.66666666666666,1271964.3333333333,54.0,283744.6666666667,184.66666666666666,988219.6666666666
17,10 hp,2010,6,346.0,1766440.0,52.0,273722.0,294.0,1492718.0,10 hp,276.6666666666667,1363174.6666666667,52.0,286931.3333333333,224.66666666666666,1076243.3333333333,252.66666666666666,1323199.0,49.333333333333336,263016.6666666667,203.33333333333334,1060182.3333333333
18,10 hp,2010,7,330.0,1482070.0,64.0,324714.0,266.0,1157356.0,10 hp,324.0,1505745.3333333333,56.666666666666664,300218.6666666667,267.3333333333333,1205526.6666666667,277.0,1395202.6666666667,53.333333333333336,283473.3333333333,223.66666666666666,1111729.3333333333
19,10 hp,2010,8,342.0,1542542.0,60.0,304088.0,282.0,1238454.0,10 hp,339.3333333333333,1597017.3333333333,58.666666666666664,300841.3333333333,280.6666666666667,1296176.0,302.3333333333333,1478780.0,56.333333333333336,299279.6666666667,246.0,1179500.3333333333
20,10 hp,2010,9,452.0,1882388.0,64.0,328038.0,388.0,1554350.0,10 hp,374.6666666666667,1635666.6666666667,62.666666666666664,318946.6666666667,312.0,1316720.0,325.6666666666667,1499420.6666666667,57.333333333333336,302939.0,268.3333333333333,1196481.6666666667
21,10 hp,2010,10,258.0,1366358.0,54.0,279800.0,204.0,1086558.0,10 hp,350.6666666666667,1597096.0,59.333333333333336,303975.3333333333,291.3333333333333,1293120.6666666667,337.3333333333333,1551420.6666666667,58.0,302097.0,279.3333333333333,1249323.6666666667
22,10 hp,2010,11,278.0,1505464.0,66.0,332336.0,212.0,1173128.0,10 hp,329.3333333333333,1584736.6666666667,61.333333333333336,313391.3333333333,268.0,1271345.3333333333,334.3333333333333,1590877.0,60.0,307116.3333333333,274.3333333333333,1283760.6666666667
23,10 hp,2010,12,388.0,1849828.0,88.0,427148.0,300.0,1422680.0,10 hp,308.0,1573883.3333333333,69.33333333333333,346428.0,238.66666666666666,1227455.3333333333,341.3333333333333,1604775.0,66.0,332687.3333333333,275.3333333333333,1272087.6666666667
24,10 hp,2011,1,226.0,1254802.0,46.0,229208.0,180.0,1025594.0,10 hp,297.3333333333333,1536698.0,66.66666666666667,329564.0,230.66666666666666,1207134.0,324.0,1566897.0,63.0,316769.6666666667,261.0,1250127.3333333333
25,10 hp,2011,2,262.0,1391168.0,46.0,227958.0,216.0,1163210.0,10 hp,292.0,1498599.3333333333,60.0,294771.3333333333,232.0,1203828.0,310.6666666666667,1541668.0,60.666666666666664,304081.3333333333,250.0,1237586.6666666667
26,10 hp,2011,3,442.0,2148814.0,72.0,375700.0,370.0,1773114.0,10 hp,310.0,1598261.3333333333,54.666666666666664,277622.0,255.33333333333334,1320639.3333333333,309.0,1586072.3333333333,62.0,312025.0,247.0,1274047.3333333333
27,10 hp,2011,4,294.0,1511188.0,42.0,206808.0,252.0,1304380.0,10 hp,332.6666666666667,1683723.3333333333,53.333333333333336,270155.3333333333,279.3333333333333,1413568.0,315.0,1610210.6666666667,60.0,299859.6666666667,255.0,1310351.0
28,10 hp,2011,5,356.0,1712444.0,52.0,257578.0,304.0,1454866.0,10 hp,364.0,1790815.3333333333,55.333333333333336,280028.6666666667,308.6666666666667,1510786.6666666667,328.0,1644707.3333333333,57.666666666666664,287400.0,270.3333333333333,1357307.3333333333
29,10 hp,2011,6,554.0,2475180.0,54.0,268216.0,500.0,2206964.0,10 hp,401.3333333333333,1899604.0,49.333333333333336,244200.66666666666,352.0,1655403.3333333333,355.6666666666667,1748932.6666666667,52.0,260911.33333333334,303.6666666666667,1488021.3333333333
