RecordID,HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,r3mo_d_CAGI,r3mo_d_IR,r3mo_d_NonIR,r3mo_u_CAGI,r3mo_u_IR,r3mo_u_NonIR,r6mo_d_CAGI,r6mo_d_IR,r6mo_d_NonIR,r6mo_u_CAGI,r6mo_u_IR,r6mo_u_NonIR
14,10 hp,2010,2,190,1041078,42,209250,148,831828,1183386,269771.333333333,913614.666666667,212,54,158,1312717.66666667,315851.666666667,996866,253.666666666667,62.6666666666667,191
15,10 hp,2010,3,312,1758544,58,306082,254,1452462,1283223.33333333,239102,1044121.33333333,228.666666666667,46.6666666666667,182,1293121,302464.333333333,990656.666666667,238.666666666667,60,178.666666666667
16,10 hp,2010,4,188,1054358,50,284852,138,769506,1284660,266728,1017932,230,50,180,1263072.33333333,288126.666666667,974945.666666667,231,56,175
17,10 hp,2010,5,296,1268726,54,302220,242,966506,1360542.66666667,297718,1062824.66666667,265.333333333333,54,211.333333333333,1271964.33333333,283744.666666667,988219.666666667,238.666666666667,54,184.666666666667
18,10 hp,2010,6,346,1766440,52,273722,294,1492718,1363174.66666667,286931.333333333,1076243.33333333,276.666666666667,52,224.666666666667,1323199,263016.666666667,1060182.33333333,252.666666666667,49.3333333333333,203.333333333333
19,10 hp,2010,7,330,1482070,64,324714,266,1157356,1505745.33333333,300218.666666667,1205526.66666667,324,56.6666666666667,267.333333333333,1395202.66666667,283473.333333333,1111729.33333333,277,53.3333333333333,223.666666666667
20,10 hp,2010,8,342,1542542,60,304088,282,1238454,1597017.33333333,300841.333333333,1296176,339.333333333333,58.6666666666667,280.666666666667,1478780,299279.666666667,1179500.33333333,302.333333333333,56.3333333333333,246
21,10 hp,2010,9,452,1882388,64,328038,388,1554350,1635666.66666667,318946.666666667,1316720,374.666666666667,62.6666666666667,312,1499420.66666667,302939,1196481.66666667,325.666666666667,57.3333333333333,268.333333333333
22,10 hp,2010,10,258,1366358,54,279800,204,1086558,1597096,303975.333333333,1293120.66666667,350.666666666667,59.3333333333333,291.333333333333,1551420.66666667,302097,1249323.66666667,337.333333333333,58,279.333333333333
23,10 hp,2010,11,278,1505464,66,332336,212,1173128,1584736.66666667,313391.333333333,1271345.33333333,329.333333333333,61.3333333333333,268,1590877,307116.333333333,1283760.66666667,334.333333333333,60,274.333333333333
24,10 hp,2010,12,388,1849828,88,427148,300,1422680,1573883.33333333,346428,1227455.33333333,308,69.3333333333333,238.666666666667,1604775,332687.333333333,1272087.66666667,341.333333333333,66,275.333333333333
25,10 hp,2011,1,226,1254802,46,229208,180,1025594,1536698,329564,1207134,297.333333333333,66.6666666666667,230.666666666667,1566897,316769.666666667,1250127.33333333,324,63,261
